Token Name,Symbol,Address,Change %
"Wrapped liquid staked Ether 2.0
(wstETH)",wstETH,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,5.66%
"Wrapped BTC
(WBTC)",WBTC,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,1.03%
"Wrapped eETH
(weETH.base)",weETH.base,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,6.29%
"Wrapped Ether
(WETH)",WETH,0x4200000000000000000000000000000000000006,6.79%
"USDS Stablecoin
(USDS)",USDS,0x820c137fa70c8691f0e44dc420a5e53c168921dc,0.02%
"Polkadot Token (Relay Chain)
(DOT)",DOT,0x8d010bf9c26881788b4e6bf5fd1bdc358c8f90b8,0.52%
"Coinbase Wrapped BTC
(cbBTC)",cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,1.25%
"Staked USDe
(sUSDe)",sUSDe,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0.15%
"Aave Token
(AAVE)",AAVE,0x63706e401c06ac8513145b7687a14804d17f814b,5.13%
"ENA
(ENA)",ENA,0x58538e6A46E07434d7E7375Bc268D3cb839C0133,7.87%
"Wrapped PENGU
(WPENGU)",WPENGU,0xbcb8209c3c482a46dd9a5e7bc06e8cfb04670477,2.43%
"Savings USDS
(sUSDS)",sUSDS,0x5875eee11cf8398102fdad704c9e96607675467a,0.03%
"Spark USDC Vault
(sUSDC)",sUSDC,0x3128a0f7f0ea68e7b7c9b00afa7e41045828e858,0.03%
"OFFICIAL TRUMP
(TRUMP)",TRUMP,0xc27468b12ffa6d714b1b5fbc87ef403f38b82ad4,1.34%
"Wrapped TRUMP
(WTRUMP)",WTRUMP,0xc05ec5235ce6050375adce1f86bbec949c3c366f,1.34%
"Liquid Staked ETH
(LsETH)",LsETH,0xb29749498954a3a821ec37bde86e386df3ce30b6,4.65%
"Lombard Staked BTC
(LBTC)",LBTC,0xecac9c5f704e954931349da37f60e39f515c11c1,1.65%
"Renzo Restaked ETH
(ezETH)",ezETH,0x2416092f143378750bb29b79ed961ab195cceea5,6.16%
"Aerodrome
(AERO)",AERO,0x940181a94a35a4569e4529a3cdfb74e38fd98631,9.82%
"Curve DAO Token
(CRV)",CRV,0x8Ee73c484A26e0A5df2Ee2a4960B789967dd0415,3.20%
"Solv BTC
(SolvBTC)",SolvBTC,0x3b86ad95859b6ab773f55f8d94b4b9d443ee931f,1.22%
"Super OETH
(superOETHb)",superOETHb,0xdbfefd2e8460a6ee4955a68582f85708baea60a3,6.13%
"Pendle
(PENDLE)",PENDLE,0xa99f6e6785da0f5d6fb42495fe424bce029eeb3e,2.05%
"clBTC
(clBTC)",clBTC,0x8d2757ea27aabf172da4cca4e5474c76016e3dc5,2.08%
"Morpho Token
(MORPHO)",MORPHO,0xBAa5CC21fd487B8Fcc2F632f3F4E8D37262a0842,10.76%
"cgETH Hashkey Cloud
(cgETH.hashkey)",cgETH.hashkey,0xf587b7116879a529353cc71ee959cd69fd5cae48,3.01%
"Virtual Protocol
(VIRTUAL)",VIRTUAL,0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,2.36%
"Pyth Network
(PYTH)",PYTH,0x4c5d8A75F3762c1561D96f177694f67378705E98,0.80%
"Wrapped USDX
(USDX)",USDX,0xf3527ef8de265eaa3716fb312c12847bfba66cef,0.03%
"Coinbase Wrapped Staked ETH
(cbETH)",cbETH,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,6.29%
"Usual USD
(USD0)",USD0,0x758a3e0b1f842c9306b783f8a4078c6c8c03a270,0.01%
"ether.fi governance token
(ETHFI)",ETHFI,0x6c240dda6b5c336df09a4d011139beaaa1ea2aa2,6.72%
"Frax Ether
(frxETH)",frxETH,0x7eb8d1e4e2d0c8b9beda7a97b305cf49f3eee8da,5.82%
"Telcoin
(TEL)",TEL,0x09bE1692ca16e06f536F0038fF11D1dA8524aDB1,6.66%
"Fluid
(FLUID)",FLUID,0x61e030a56d33e8260fdd81f03b162a79fe3449cd,5.07%
"BIO
(BIO)",BIO,0x226a2fa2556c48245e57cd1cba4c6c9e67077dd2,51.99%
"Compound
(COMP)",COMP,0x9e1028F5F1D5eDE59748FFceE5532509976840E0,1.14%
"SuperVerse
(SUPER)",SUPER,0x391359ab0ccef572dcac78f74e47d7c06db0b982,1.45%
"Wormhole Token
(W)",W,0xB0fFa8000886e57F86dd5264b9582b2Ad87b2b91,1.56%
"Staked Frax Ether
(sfrxETH)",sfrxETH,0x192e0c7cc9b263d93fa6d472de47bbefe1fb12ba,6.31%
"ether.fi BTC
(eBTC)",eBTC,0x657e8c867d8b37dcc18fa4caead9c45eb088c642,2.21%
"Zora
(ZORA)",ZORA,0x1111111111166b7fe7bd91427724b487980afc69,3.99%
"Compounding Open Dollar
(cUSDO)",cUSDO,0x83db73ef5192de4b6a4c92bd0141ba1a0dc87c65,0.03%
"KAITO
(KAITO)",KAITO,0x98d0baa52b2d063e780de12f615f963fe8537553,1.47%
"Wrapped sUSDX
(sUSDX)",sUSDX,0x7788a3538c5fc7f9c7c8a74eac4c898fc8d87d92,0.14%
"Moca
(MOCA)",MOCA,0x2b11834ed1feaed4b4b3a86a6f571315e25a884d,1.13%
"uniBTC
(uniBTC)",uniBTC,0x93919784C523f39CACaa98Ee0a9d96c3F32b593e,0.69%
"EURC
(EURC)",EURC,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,0.20%
"Synthetix Network Token
(SNX)",SNX,0x22e6966b799c4d5b13be962e1d117b56327fda66,0.03%
"Non-Playable Coin
(NPC)",NPC,0xb166e8b140d35d9d8226e40c09f757bac5a4d87d,8.13%
"Euler
(EUL)",EUL,0xa153ad732f831a79b5575fa02e793ec4e99181b0,6.05%
"Reward EUL
(rEUL)",rEUL,0xe08e1f00d388e201e48842e53fa96195568e6813,6.05%
"yearn.finance
(YFI)",YFI,0x9eaf8c1e34f05a589eda6bafdf391cf6ad3cb239,2.34%
"CoW Protocol Token
(COW)",COW,0xc694a91e6b071bf030a18bd3053a7fe09b6dae69,2.42%
"MAG7.ssi
(MAG7.ssi)",MAG7.ssi,0x9e6a46f294bb67c20f1d1e7afb0bbef614403b55,2.02%
"UXLINK Token
(UXLINK)",UXLINK,0x1A6B3A62391ECcaaa992ade44cd4AFe6bEC8CfF1,1.42%
"Melania Meme
(MELANIA)",MELANIA,0x813f392d21a55819be5e78157bfcdbd25530f4e8,1.01%
"Osaka Protocol
(OSAK)",OSAK,0xbFd5206962267c7b4b4A8B3D76AC2E1b2A5c4d5e,4.91%
"Horizen
(ZEN)",ZEN,0xf43eB8De897Fbc7F2502483B2Bef7Bb9EA179229,3.35%
"Degen
(DEGEN)",DEGEN,0x4ed4e862860bed51a9570b96d89af5e1b0efefed,4.73%
"WorldMobileToken
(WMTX)",WMTX,0x3e31966d4f81C72D2a55310A6365A56A4393E98D,0.20%
"YieldFi yUSD
(yUSD)",yUSD,0x4772D2e014F9fC3a820C444e3313968e9a5C8121,0.09%
"Anzen USDz Bond
(AnzBond)",AnzBond,0xa87c9808c0ebe20a1427b5c769623c77201f6f4d,0.05%
"USDz
(USDz)",USDz,0x04D5ddf5f3a8939889F11E97f8c4BB48317F1938,0.05%
"Dola USD Stablecoin
(DOLA)",DOLA,0x4621b7a9c75199271f773ebd9a499dbd165c3191,0.05%
"Redstone
(RED)",RED,0x4eb92702ba4cfbf80561bad64d89c706ac824960,0.22%
"FAI
(FAI)",FAI,0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935,5.47%
"Prime
(PRIME)",PRIME,0xfA980cEd6895AC314E7dE34Ef1bFAE90a5AdD21b,1.50%
"pumpBTC
(pumpBTC)",pumpBTC,0xF469fBD2abcd6B9de8E169d128226C0Fc90a012e,0.96%
"Phala
(PHA)",PHA,0x336c9297afb7798c292e9f80d8e566b947f291f0,0.20%
"REI
(REI)",REI,0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,6.38%
"Sign
(SIGN)",SIGN,0x868fced65edbf0056c4163515dd840e9f287a4c3,0.70%
"HarryPotterObamaSonic10Inu
(BITCOIN)",BITCOIN,0x2a06a17cbc6d0032cac2c6696da90f29d39a1a29,6.57%
"BIM
(BIM)",BIM,0x555fff48549c1a25a723bd8e7ed10870d82e8379,6.17%
"Apu Apustaja
(APU)",APU,0xb9926b3fbc5873db0182016d55727d5ae89e5efd,8.31%
"Cookie DAO
(COOKIE)",COOKIE,0xc0041ef357b183448b235a8ea73ce4e4ec8c265f,1.56%
"B3 (Base)
(B3)",B3,0xb3b32f9f8827d4634fe7d973fa1034ec9fddb3b3,3.91%
"USUAL
(USUAL)",USUAL,0x4acd4d03af6f9cc0fb7c5f0868b7b6287d7969c5,0.73%
"Frax USD
(frxUSD)",frxUSD,0xe5020a6d073a794b6e7f05678707de47986fb0b6,0.01%
"Kyber Network Crystal v2
(KNC)",KNC,0x28fe69ff6864c1c218878bdca01482d36b9d57b1,1.33%
"Gains Network
(GNS)",GNS,0xFB1Aaba03c31EA98A3eEC7591808AcB1947ee7Ac,4.74%
"Ponke
(PONKE)",PONKE,0x4a0c64af541439898448659aedcec8e8e819fc53,3.67%
"tokenbot
(CLANKER)",CLANKER,0x1bc0c42215582d5a085795f4badbac3ff36d1bcb,7.05%
"Zentry
(ZENT)",ZENT,0xdf49c226ED9CF05Be0e38cdb86Df4E8A945158B1,1.67%
"Impossible Cloud Network Token
(ICNT)",ICNT,0xE0Cd4cAcDdcBF4f36e845407CE53E87717b6601d,5.18%
