Token Name,Symbol,Address,Change %
"USDe
(USDe)",USDe,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0.05%
"Aave Token
(AAVE)",AAVE,0x63706e401c06ac8513145b7687a14804d17f814b,1.92%
"Savings USDS
(sUSDS)",sUSDS,0x5875eee11cf8398102fdad704c9e96607675467a,0.01%
"Spark USDC Vault
(sUSDC)",sUSDC,0x3128a0f7f0ea68e7b7c9b00afa7e41045828e858,0.01%
"Aerodrome
(AERO)",AERO,0x940181a94a35a4569e4529a3cdfb74e38fd98631,0.06%
"Pendle
(PENDLE)",PENDLE,0xa99f6e6785da0f5d6fb42495fe424bce029eeb3e,2.59%
"Wrapped USDX
(USDX)",USDX,0xf3527ef8de265eaa3716fb312c12847bfba66cef,0.10%
"Usual USD
(USD0)",USD0,0x758a3e0b1f842c9306b783f8a4078c6c8c03a270,0.12%
"Wrapped sUSDX
(sUSDX)",sUSDX,0x7788a3538c5fc7f9c7c8a74eac4c898fc8d87d92,0.46%
"Melania Meme
(MELANIA)",MELANIA,0x813f392d21a55819be5e78157bfcdbd25530f4e8,11.27%
"Osaka Protocol
(OSAK)",OSAK,0xbFd5206962267c7b4b4A8B3D76AC2E1b2A5c4d5e,3.83%
"YieldFi yUSD
(yUSD)",yUSD,0x4772D2e014F9fC3a820C444e3313968e9a5C8121,0.10%
"Yala stablecoin
(YU)",YU,0xe868084cf08f3c3db11f4b73a95473762d9463f7,0.05%
"Anzen USDz Bond
(AnzBond)",AnzBond,0xa87c9808c0ebe20a1427b5c769623c77201f6f4d,0.06%
"USDz
(USDz)",USDz,0x04D5ddf5f3a8939889F11E97f8c4BB48317F1938,0.06%
"pumpBTC
(pumpBTC)",pumpBTC,0xF469fBD2abcd6B9de8E169d128226C0Fc90a012e,3.69%
"REI
(REI)",REI,0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,0.27%
"Zentry
(ZENT)",ZENT,0xdf49c226ED9CF05Be0e38cdb86Df4E8A945158B1,0.70%
"Magic Internet Money
(MIM)",MIM,0x4A3A6Dd60A34bB2Aba60D73B4C88315E9CeB6A3D,0.21%
"Hyperlane
(HYPER)",HYPER,0xc9d23ed2adb0f551369946bd377f8644ce1ca5c4,2.84%
"Orderly Network
(ORDER)",ORDER,0x4e200fe2f3efb977d5fd9c430a41531fb04d97b8,5.52%
"Curve.fi Factory Plain Pool: Overnight/Curve
(USD+crvUSD-f)",USD+crvUSD-f,0xda3de145054ed30ee937865d31b500505c4bdfe7,0.01%
"USD+
(USD+)",USD+,0xb79dd08ea68a908a97220c76d19a6aa9cbde4376,0.01%
"Maverick Token
(MAV)",MAV,0x64b88c73a5dfa78d1713fe1b4c69a22d7e0faaa7,0.96%
"Dimo
(DIMO)",DIMO,0x5eAA326fB2fc97fAcCe6A79A304876daD0F2e96c,115.59%
"PARTI Token
(PARTI)",PARTI,0x59264f02d301281f3393e1385c0aefd446eb0f00,3.30%
"BOBO
(BOBO)",BOBO,0x570b1533f6daa82814b25b62b5c7c4c55eb83947,2.02%
"TLOS
(TLOS)",TLOS,0x7252c865c05378ffc15120f428dd65804dd0ce63,5.04%
"AITV
(AITV)",AITV,0x45e4e92F5A94F4B741C9cb553FF8bE7B25Eb7dF5,0.31%
"Based Fartcoin
(Fartcoin)",Fartcoin,0x2f6c17fa9f9bc3600346ab4e48c0701e1d5962ae,3.11%
"Alpha City
(AMETA)",AMETA,0x90ec58ef4cc9f37b96de1e203b65bd4e6e79580e,24.34%
"True
(TRUE)",TRUE,0x21cfcfc3d8f98fc728f48341d10ad8283f6eb7ab,28.20%
"yoVaultUSD
(yoUSD)",yoUSD,0x0000000f2eb9f69274678c76222b35eec7588a65,0.02%
"Spheron Network
(SPON)",SPON,0x080d43c2164afdbc3712422ce78ab902ccab5ca1,0.17%
"Frankencoin
(ZCHF)",ZCHF,0xd4dd9e2f021bb459d5a5f6c24c12fe09c5d45553,0.07%
"BasedPepe
(PEPE)",PEPE,0x52b492a33E447Cdb854c7FC19F1e57E8BfA1777D,8.13%
